iteracao,acc_prequencial,acuracia
264,0.9659090909090908,96.5909090909091
265,0.9660377358490565,96.60377358490567
266,0.9661654135338344,96.61654135338345
267,0.9662921348314606,96.62921348314607
268,0.9664179104477612,96.64179104477611
269,0.966542750929368,96.6542750929368
270,0.9666666666666667,96.66666666666667
271,0.966789667896679,96.6789667896679
272,0.9669117647058824,96.69117647058823
273,0.967032967032967,96.7032967032967
274,0.9671532846715328,96.71532846715328
275,0.9672727272727273,96.72727272727273
276,0.967391304347826,96.73913043478261
277,0.9675090252707581,96.75090252707581
278,0.9676258992805755,96.76258992805755
279,0.967741935483871,96.7741935483871
280,0.9678571428571429,96.78571428571429
281,0.9679715302491103,96.79715302491103
282,0.9680851063829787,96.80851063829788
283,0.9681978798586572,96.81978798586573
284,0.9683098591549296,96.83098591549296
285,0.968421052631579,96.84210526315789
286,0.9685314685314685,96.85314685314685
287,0.9686411149825784,96.86411149825784
288,0.96875,96.875
289,0.9688581314878892,96.88581314878893
290,0.9689655172413792,96.89655172413794
291,0.9690721649484535,96.90721649484536
292,0.9691780821917807,96.91780821917808
293,0.9692832764505118,96.9283276450512
294,0.9693877551020407,96.93877551020408
295,0.9694915254237286,96.94915254237289
296,0.9695945945945944,96.95945945945945
297,0.9696969696969695,96.96969696969697
298,0.9697986577181206,96.97986577181209
299,0.9698996655518393,96.98996655518394
300,0.9699999999999998,97.0
301,0.9700996677740862,97.00996677740864
302,0.9701986754966886,97.01986754966887
303,0.9702970297029702,97.02970297029702
304,0.9703947368421051,97.03947368421052
305,0.9704918032786883,97.04918032786885
306,0.9705882352941174,97.05882352941177
307,0.9706840390879476,97.06840390879479
308,0.9707792207792205,97.07792207792208
309,0.9708737864077668,97.0873786407767
310,0.9709677419354836,97.09677419354838
311,0.9710610932475882,97.10610932475885
312,0.9711538461538459,97.11538461538461
313,0.9712460063897761,97.12460063897764
314,0.9713375796178342,97.13375796178345
315,0.9714285714285712,97.14285714285714
316,0.9715189873417719,97.15189873417721
317,0.9716088328075707,97.1608832807571
318,0.971698113207547,97.16981132075472
319,0.9717868338557991,97.17868338557994
320,0.9718749999999997,97.1875
321,0.9719626168224296,97.19626168224299
322,0.9720496894409935,97.20496894409938
323,0.9721362229102164,97.21362229102168
324,0.9722222222222219,97.22222222222223
325,0.972307692307692,97.23076923076923
326,0.9723926380368095,97.23926380368098
327,0.9724770642201832,97.24770642201835
328,0.9725609756097559,97.2560975609756
329,0.9726443768996959,97.26443768996961
330,0.9727272727272726,97.27272727272727
331,0.9728096676737158,97.2809667673716
332,0.97289156626506,97.28915662650603
333,0.9729729729729727,97.29729729729729
334,0.9730538922155686,97.30538922155688
335,0.9731343283582087,97.31343283582089
336,0.9732142857142855,97.32142857142857
337,0.9732937685459938,97.3293768545994
338,0.9733727810650885,97.33727810650888
339,0.973451327433628,97.34513274336283
340,0.9735294117647056,97.3529411764706
341,0.973607038123167,97.36070381231671
342,0.9736842105263156,97.36842105263158
343,0.9737609329446062,97.37609329446065
344,0.9738372093023253,97.38372093023256
345,0.9739130434782606,97.3913043478261
346,0.973988439306358,97.39884393063583
347,0.9740634005763685,97.40634005763688
348,0.9741379310344824,97.41379310344827
349,0.9742120343839539,97.42120343839541
350,0.974285714285714,97.42857142857143
351,0.974358974358974,97.43589743589743
352,0.9744318181818178,97.44318181818181
353,0.9745042492917844,97.45042492917847
354,0.9745762711864403,97.45762711864407
355,0.9746478873239433,97.46478873239437
356,0.974719101123595,97.47191011235955
357,0.9747899159663861,97.47899159663865
358,0.9748603351955303,97.48603351955308
359,0.9749303621169912,97.49303621169916
360,0.9749999999999996,97.5
361,0.975069252077562,97.50692520775624
362,0.975138121546961,97.51381215469613
363,0.9752066115702476,97.52066115702479
364,0.9752747252747249,97.52747252747253
365,0.9753424657534243,97.53424657534246
366,0.9754098360655734,97.54098360655738
367,0.9754768392370569,97.54768392370572
368,0.9755434782608692,97.55434782608695
369,0.9756097560975606,97.5609756097561
370,0.9756756756756754,97.56756756756756
371,0.975741239892183,97.57412398921834
372,0.9758064516129029,97.58064516129032
373,0.9758713136729219,97.58713136729223
374,0.975935828877005,97.59358288770053
375,0.9759999999999996,97.6
376,0.9760638297872337,97.6063829787234
377,0.9761273209549068,97.61273209549071
378,0.9761904761904758,97.61904761904762
379,0.976253298153034,97.62532981530343
380,0.9763157894736839,97.63157894736842
381,0.9763779527559052,97.63779527559055
382,0.9764397905759159,97.64397905759162
383,0.9765013054830284,97.65013054830287
384,0.9765624999999997,97.65625
385,0.9766233766233763,97.66233766233766
386,0.9766839378238339,97.66839378238342
387,0.9767441860465114,97.67441860465117
388,0.97680412371134,97.68041237113403
389,0.9768637532133674,97.68637532133675
390,0.9769230769230767,97.6923076923077
391,0.9769820971867005,97.69820971867007
392,0.9770408163265303,97.70408163265306
393,0.977099236641221,97.70992366412214
394,0.977157360406091,97.71573604060913
395,0.9772151898734174,97.72151898734177
396,0.977272727272727,97.72727272727273
397,0.9773299748110829,97.73299748110831
398,0.9773869346733666,97.73869346733669
399,0.9774436090225561,97.74436090225564
400,0.9774999999999997,97.75
401,0.9775561097256855,97.75561097256858
402,0.9776119402985072,97.76119402985074
403,0.9776674937965257,97.76674937965261
404,0.9777227722772274,97.77227722772277
405,0.9777777777777774,97.77777777777777
406,0.9778325123152706,97.78325123152709
407,0.9778869778869775,97.78869778869779
408,0.9779411764705879,97.79411764705883
409,0.9779951100244495,97.79951100244499
410,0.9780487804878045,97.8048780487805
411,0.9781021897810216,97.81021897810218
412,0.9781553398058249,97.81553398058253
413,0.9782082324455202,97.82082324455206
414,0.9782608695652171,97.82608695652173
415,0.9783132530120479,97.83132530120481
416,0.9783653846153842,97.83653846153847
417,0.9784172661870499,97.84172661870504
418,0.9784688995215307,97.8468899521531
419,0.978520286396181,97.85202863961814
420,0.9785714285714282,97.85714285714286
421,0.9786223277909735,97.86223277909738
422,0.9786729857819901,97.86729857819905
423,0.9787234042553188,97.87234042553192
424,0.97877358490566,97.87735849056604
425,0.9788235294117643,97.88235294117646
426,0.9788732394366193,97.88732394366197
427,0.9765807962529269,97.65807962529274
428,0.9742990654205603,97.42990654205607
429,0.9743589743589739,97.43589743589743
430,0.9744186046511624,97.44186046511628
431,0.9744779582366585,97.4477958236659
432,0.9745370370370366,97.45370370370371
433,0.9745958429561197,97.459584295612
434,0.9746543778801839,97.46543778801843
435,0.9747126436781606,97.47126436781609
436,0.9747706422018345,97.4770642201835
437,0.9748283752860408,97.48283752860412
438,0.9748858447488581,97.48858447488584
439,0.9749430523917992,97.49430523917995
440,0.9749999999999996,97.5
441,0.9750566893424033,97.50566893424036
442,0.9751131221719453,97.51131221719457
443,0.9751693002257332,97.51693002257336
444,0.9752252252252248,97.52252252252252
445,0.9752808988764041,97.52808988764045
446,0.9753363228699548,97.53363228699551
447,0.9753914988814314,97.53914988814317
448,0.9754464285714282,97.54464285714286
449,0.9755011135857456,97.55011135857461
450,0.9755555555555551,97.55555555555556
451,0.9756097560975605,97.5609756097561
452,0.9756637168141589,97.56637168141593
453,0.9757174392935978,97.57174392935983
454,0.9757709251101317,97.57709251101322
455,0.9758241758241755,97.58241758241758
456,0.9758771929824558,97.58771929824562
457,0.9759299781181616,97.59299781181619
458,0.9759825327510914,97.59825327510917
459,0.9760348583877992,97.60348583877996
460,0.9760869565217388,97.6086956521739
461,0.9761388286334053,97.61388286334056
462,0.9761904761904758,97.61904761904762
463,0.9762419006479478,97.62419006479482
464,0.9762931034482755,97.62931034482759
465,0.976344086021505,97.63440860215054
466,0.9763948497854074,97.63948497854078
467,0.9764453961456099,97.64453961456103
468,0.9764957264957261,97.64957264957265
469,0.9765458422174836,97.65458422174841
470,0.9765957446808506,97.65957446808511
471,0.9766454352441609,97.66454352441613
472,0.9766949152542368,97.66949152542372
473,0.9767441860465111,97.67441860465117
474,0.9767932489451472,97.67932489451476
475,0.9768421052631574,97.6842105263158
476,0.9768907563025205,97.6890756302521
477,0.9769392033542972,97.69392033542977
478,0.9769874476987442,97.69874476987448
479,0.9770354906054275,97.7035490605428
480,0.9770833333333329,97.70833333333333
481,0.9771309771309766,97.71309771309771
482,0.977178423236514,97.71784232365145
483,0.9772256728778463,97.72256728778468
484,0.9772727272727268,97.72727272727273
485,0.9773195876288655,97.73195876288659
486,0.9773662551440324,97.73662551440329
487,0.9774127310061597,97.74127310061601
488,0.9774590163934421,97.74590163934427
489,0.9775051124744372,97.75051124744377
490,0.9775510204081628,97.75510204081633
491,0.977596741344195,97.75967413441956
492,0.9776422764227638,97.76422764227642
493,0.9776876267748474,97.76876267748479
494,0.9777327935222668,97.77327935222672
495,0.9777777777777774,97.77777777777777
496,0.9778225806451609,97.78225806451613
497,0.9778672032193155,97.78672032193158
498,0.977911646586345,97.79116465863454
499,0.9779559118236469,97.79559118236473
500,0.9779999999999996,97.8
501,0.9780439121756483,97.80439121756487
502,0.9780876494023901,97.80876494023904
503,0.9781312127236578,97.8131212723658
504,0.9781746031746029,97.81746031746032
505,0.978217821782178,97.82178217821782
506,0.9782608695652172,97.82608695652173
507,0.9783037475345165,97.83037475345168
508,0.9783464566929132,97.83464566929133
509,0.9783889980353633,97.83889980353635
510,0.9784313725490195,97.84313725490196
511,0.9784735812133071,97.84735812133073
512,0.9785156249999999,97.8515625
513,0.9785575048732942,97.85575048732943
514,0.9785992217898831,97.85992217898833
515,0.9786407766990289,97.86407766990291
516,0.9786821705426355,97.86821705426357
517,0.978723404255319,97.87234042553192
518,0.9787644787644786,97.87644787644787
519,0.9788053949903659,97.88053949903662
520,0.9788461538461537,97.88461538461539
521,0.9788867562380037,97.88867562380038
522,0.9789272030651339,97.89272030651341
523,0.9789674952198851,97.89674952198853
524,0.9790076335877861,97.90076335877863
525,0.9790476190476188,97.9047619047619
526,0.9790874524714827,97.90874524714829
527,0.9791271347248575,97.91271347248576
528,0.9791666666666664,97.91666666666667
529,0.9792060491493381,97.92060491493383
530,0.9792452830188676,97.9245283018868
531,0.9792843691148773,97.92843691148776
532,0.9793233082706764,97.93233082706767
533,0.9793621013133205,97.93621013133209
534,0.97940074906367,97.94007490636704
535,0.9794392523364482,97.94392523364486
536,0.9794776119402981,97.94776119402985
537,0.9795158286778395,97.95158286778398
538,0.9795539033457246,97.95539033457248
539,0.9795918367346935,97.95918367346938
540,0.9796296296296293,97.96296296296296
541,0.9796672828096115,97.96672828096118
542,0.9797047970479701,97.97047970479704
543,0.9797421731123385,97.97421731123389
544,0.9797794117647055,97.9779411764706
545,0.9798165137614675,97.98165137614679
546,0.9780219780219777,97.8021978021978
547,0.9762340036563067,97.62340036563072
548,0.9762773722627733,97.62773722627738
549,0.9763205828779595,97.632058287796
550,0.976363636363636,97.63636363636364
551,0.9764065335753173,97.64065335753176
552,0.9764492753623185,97.64492753623189
553,0.9764918625678116,97.64918625678119
554,0.9765342960288805,97.65342960288808
555,0.9765765765765763,97.65765765765765
556,0.9766187050359709,97.66187050359713
557,0.9766606822262115,97.66606822262119
558,0.9767025089605731,97.67025089605735
559,0.9767441860465113,97.67441860465117
560,0.9767857142857139,97.67857142857143
561,0.976827094474153,97.68270944741533
562,0.9768683274021349,97.68683274021352
563,0.9769094138543514,97.69094138543517
564,0.9769503546099287,97.69503546099291
565,0.9769911504424775,97.69911504424779
566,0.977031802120141,97.70318021201413
567,0.9770723104056434,97.70723104056438
568,0.9771126760563377,97.71126760563381
569,0.9771528998242527,97.7152899824253
570,0.97719298245614,97.71929824561404
571,0.9772329246935197,97.72329246935202
572,0.9772727272727268,97.72727272727273
573,0.9773123909249559,97.73123909249564
574,0.9773519163763061,97.73519163763066
575,0.9773913043478256,97.73913043478261
576,0.9774305555555551,97.74305555555556
577,0.9774696707105716,97.7469670710572
578,0.9775086505190308,97.75086505190312
579,0.9775474956822103,97.75474956822107
580,0.9775862068965514,97.75862068965517
581,0.9776247848537002,97.76247848537005
582,0.9776632302405495,97.76632302405498
583,0.9777015437392792,97.77015437392797
584,0.9777397260273969,97.77397260273973
585,0.9777777777777774,97.77777777777777
586,0.9778156996587027,97.7815699658703
587,0.9778534923339008,97.78534923339012
588,0.9778911564625847,97.78911564625851
589,0.9779286926994903,97.79286926994907
590,0.9779661016949149,97.79661016949153
591,0.9780033840947543,97.80033840947547
592,0.9780405405405401,97.80405405405405
593,0.9780775716694768,97.80775716694772
594,0.9781144781144777,97.8114478114478
595,0.9781512605042013,97.81512605042016
596,0.9781879194630869,97.81879194630872
597,0.9782244556113899,97.82244556113903
598,0.9782608695652171,97.82608695652173
599,0.9782971619365606,97.8297161936561
600,0.9783333333333329,97.83333333333333
601,0.9783693843594006,97.8369384359401
602,0.9784053156146175,97.84053156146179
603,0.9784411276948586,97.8441127694859
604,0.9784768211920525,97.8476821192053
605,0.9785123966942144,97.85123966942149
606,0.9785478547854781,97.85478547854785
607,0.9785831960461281,97.85831960461284
608,0.9786184210526312,97.86184210526316
609,0.9786535303776679,97.86535303776684
610,0.9786885245901635,97.8688524590164
611,0.9787234042553188,97.87234042553192
612,0.9787581699346402,97.87581699346406
613,0.9787928221859703,97.87928221859707
614,0.9788273615635176,97.8827361563518
615,0.9788617886178859,97.88617886178862
616,0.9788961038961036,97.8896103896104
617,0.9789303079416528,97.89303079416531
618,0.978964401294498,97.89644012944984
619,0.9789983844911143,97.89983844911147
620,0.9790322580645158,97.90322580645162
621,0.9790660225442831,97.90660225442834
622,0.9790996784565913,97.90996784565917
623,0.9791332263242372,97.91332263242376
624,0.9791666666666663,97.91666666666667
625,0.9791999999999996,97.92
626,0.9792332268370604,97.92332268370608
627,0.9792663476874,97.92663476874003
628,0.9792993630573245,97.92993630573248
629,0.9793322734499201,97.93322734499205
630,0.979365079365079,97.93650793650794
631,0.9793977812995242,97.93977812995246
632,0.979430379746835,97.94303797468355
633,0.9794628751974719,97.94628751974723
634,0.9794952681388008,97.94952681388013
635,0.9795275590551177,97.95275590551181
636,0.9795597484276726,97.95597484276729
637,0.9795918367346935,97.95918367346938
638,0.9796238244514103,97.96238244514106
639,0.9796557120500778,97.96557120500782
640,0.9796874999999996,97.96875
641,0.9797191887675503,97.97191887675507
642,0.979750778816199,97.97507788161994
643,0.9797822706065314,97.97822706065318
644,0.9798136645962728,97.98136645962732
645,0.9798449612403096,97.98449612403101
646,0.9783281733746125,97.83281733746131
647,0.9768160741885621,97.68160741885626
648,0.9753086419753081,97.53086419753086
649,0.9738058551617869,97.38058551617874
650,0.9723076923076918,97.23076923076923
651,0.9708141321044541,97.08141321044546
652,0.9693251533742325,96.93251533742331
653,0.9678407350689121,96.78407350689127
654,0.9678899082568801,96.78899082568807
655,0.9679389312977094,96.79389312977099
656,0.9679878048780483,96.79878048780488
657,0.9680365296803648,96.80365296803653
658,0.9680851063829782,96.80851063829788
659,0.9666160849772377,96.66160849772382
660,0.9651515151515146,96.51515151515152
661,0.9636913767019663,96.36913767019666
662,0.9622356495468273,96.22356495468279
663,0.9622926093514323,96.22926093514329
664,0.9623493975903609,96.23493975903614
665,0.9624060150375934,96.2406015037594
666,0.9624624624624618,96.24624624624624
667,0.9625187406296845,96.25187406296851
668,0.9625748502994005,96.25748502994011
669,0.962630792227204,96.26307922272048
670,0.9626865671641783,96.26865671641791
671,0.9627421758569292,96.274217585693
672,0.9627976190476183,96.2797619047619
673,0.9628528974739963,96.2852897473997
674,0.9629080118694354,96.29080118694363
675,0.9629629629629621,96.29629629629629
676,0.9630177514792891,96.30177514792899
677,0.963072378138847,96.30723781388478
678,0.9631268436578163,96.3126843657817
679,0.9631811487481583,96.3181148748159
680,0.9632352941176463,96.32352941176471
681,0.9632892804698965,96.32892804698972
682,0.9633431085043981,96.33431085043988
683,0.963396778916544,96.33967789165446
684,0.9634502923976601,96.34502923976608
685,0.9635036496350358,96.35036496350365
686,0.9635568513119526,96.35568513119533
687,0.9636098981077139,96.36098981077147
688,0.9636627906976736,96.36627906976744
689,0.9637155297532648,96.37155297532657
690,0.9637681159420282,96.3768115942029
691,0.9638205499276403,96.38205499276411
692,0.9638728323699414,96.38728323699422
693,0.9639249639249631,96.3924963924964
694,0.9639769452449559,96.39769452449568
695,0.9640287769784164,96.40287769784173
696,0.964080459770114,96.4080459770115
697,0.9641319942611182,96.4131994261119
698,0.9641833810888243,96.41833810888252
699,0.9642346208869804,96.42346208869814
700,0.9642857142857133,96.42857142857143
701,0.9629101283880162,96.2910128388017
702,0.9615384615384606,96.15384615384616
703,0.9601706970128013,96.01706970128022
704,0.9588068181818172,95.88068181818181
705,0.9574468085106373,95.74468085106383
706,0.9560906515580727,95.60906515580737
707,0.9547383309759538,95.47383309759547
708,0.9533898305084737,95.33898305084746
709,0.9520451339915365,95.20451339915374
710,0.9507042253521117,95.07042253521126
711,0.949367088607594,94.9367088607595
712,0.9480337078651676,94.80337078651685
713,0.9467040673211772,94.67040673211781
714,0.9453781512605033,94.53781512605042
715,0.9440559440559432,94.4055944055944
716,0.9427374301675969,94.27374301675978
717,0.9414225941422586,94.14225941422595
718,0.9401114206128125,94.01114206128133
719,0.9388038942976348,93.88038942976355
720,0.9374999999999992,93.75
721,0.9361997226074888,93.61997226074897
722,0.934903047091412,93.49030470914127
723,0.9336099585062233,93.3609958506224
724,0.9323204419889495,93.23204419889503
725,0.9310344827586199,93.10344827586206
726,0.9297520661157017,92.97520661157024
727,0.9284731774415398,92.84731774415405
728,0.9271978021978015,92.71978021978022
729,0.9259259259259252,92.5925925925926
730,0.9246575342465746,92.46575342465754
731,0.9233926128590964,92.33926128590971
732,0.9221311475409828,92.21311475409836
733,0.9208731241473389,92.08731241473397
734,0.9196185286103534,91.96185286103542
735,0.9183673469387748,91.83673469387755
736,0.9171195652173906,91.71195652173913
737,0.9158751696065122,91.58751696065129
738,0.9146341463414627,91.46341463414635
739,0.9133964817320697,91.33964817320704
740,0.9121621621621615,91.21621621621621
741,0.9109311740890682,91.09311740890688
742,0.909703504043126,90.97035040431267
743,0.9084791386271864,90.84791386271871
744,0.9072580645161283,90.7258064516129
745,0.9060402684563752,90.60402684563758
746,0.9048257372654149,90.48257372654156
747,0.9036144578313247,90.36144578313252
748,0.9024064171122989,90.24064171122994
749,0.901201602136181,90.12016021361816
750,0.8999999999999994,90.0
751,0.8988015978695066,89.88015978695073
752,0.8976063829787227,89.76063829787235
753,0.8964143426294814,89.64143426294821
754,0.8952254641909807,89.52254641909815
755,0.894039735099337,89.40397350993378
756,0.8928571428571421,89.28571428571429
757,0.8916776750330244,89.16776750330251
758,0.890501319261213,89.05013192612137
759,0.889328063241106,88.93280632411067
760,0.8881578947368414,88.8157894736842
761,0.8869908015768718,88.69908015768725
762,0.8858267716535426,88.58267716535433
763,0.884665792922673,88.46657929226737
764,0.8835078534031408,88.35078534031413
765,0.88235294117647,88.23529411764706
766,0.8812010443864224,88.1201044386423
767,0.8800521512385914,88.00521512385919
768,0.8802083333333328,88.02083333333333
769,0.8803641092327693,88.03641092327699
770,0.88051948051948,88.05194805194805
771,0.8806744487678335,88.0674448767834
772,0.880829015544041,88.08290155440415
773,0.8809831824062091,88.09831824062096
774,0.8811369509043923,88.11369509043928
775,0.8812903225806447,88.12903225806451
776,0.8814432989690717,88.14432989690722
777,0.8815958815958811,88.15958815958815
778,0.881748071979434,88.17480719794345
779,0.8818998716302947,88.18998716302953
780,0.8820512820512815,88.2051282051282
781,0.8822023047375154,88.2202304737516
782,0.8810741687979533,88.1074168797954
783,0.8799489144316724,87.9948914431673
784,0.8801020408163259,88.01020408163265
785,0.880254777070063,88.02547770700637
786,0.8804071246819332,88.04071246819339
787,0.8805590851334174,88.0559085133418
788,0.8807106598984765,88.07106598984771
789,0.8808618504435989,88.08618504435995
790,0.8810126582278475,88.10126582278481
791,0.881163084702907,88.11630847029078
792,0.8813131313131306,88.13131313131314
793,0.8814627994955857,88.14627994955863
794,0.8816120906801,88.16120906801008
795,0.8817610062893074,88.17610062893081
796,0.8819095477386927,88.19095477386935
797,0.8820577164366366,88.20577164366374
798,0.8822055137844603,88.22055137844612
799,0.8823529411764698,88.23529411764706
800,0.8824999999999992,88.25
801,0.8826466916354548,88.26466916354556
802,0.8827930174563583,88.2793017456359
803,0.882938978829389,88.29389788293898
804,0.8830845771144271,88.30845771144278
805,0.8832298136645955,88.32298136645963
806,0.883374689826302,88.33746898263027
807,0.8835192069392805,88.35192069392812
